loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
17998, 36 months,6.1,548.35,A,A4,Data Analyst,,RENT,78194,Not Verified,Apr-2016,Fully Paid,home_improvement,,8.8,Nov-1998,15,0,4066,27.8,28,w,Individual,0.0,1.0,"3878 Maple Dr
El Paso, NC 93701"
12296, 36 months,11.68,406.53,B,B4,Technician,6 years,OWN,148256,Source Verified,Apr-2015,Fully Paid,credit_card,Credit card refinancing,23.18,Nov-1984,8,0,30695,62.6,24,f,Individual,1.0,0.0,"1156 Maple Dr
Seattle, CT 65704"
19704, 36 months,24.79,781.24,F,F1,Analyst,5 years,MORTGAGE,63222,Source Verified,Jan-2018,Charged Off,home_improvement,Home improvement,50.0,Jan-1983,9,0,37262,13.6,24,f,Individual,7.0,0.0,"9932 Elm St
Washington, MN 19979"
33316, 36 months,18.66,1215.51,D,D3,Analyst,9 years,OWN,19007,Source Verified,Sep-2017,Charged Off,other,Other,21.5,Mar-1988,14,0,186315,36.3,30,f,Individual,2.0,0.0,"928 River Rd
Boston, GA 29303"
11608, 36 months,7.06,358.74,B,B5,Vice President,9 years,MORTGAGE,65023,Not Verified,Jul-2017,Fully Paid,credit_card,Credit card refinancing,10.86,Mar-1996,14,1,10989,64.4,24,w,Individual,2.0,0.0,"908 Cedar Ln
El Paso, GA 24536"
11608, 36 months,15.4,404.67,C,C1,Analyst,10+ years,MORTGAGE,152712,Source Verified,Jul-2016,Fully Paid,small_business,,22.29,Feb-1994,12,0,2000,26.7,31,w,Individual,0.0,1.0,"7366 Pine St
Columbus, TX 31577"
34459, 36 months,11.14,1130.43,B,B4,Electrician,4 years,RENT,90823,Source Verified,Feb-2016,Charged Off,credit_card,Credit card refinancing,8.21,Aug-2010,8,0,26886,54.1,19,w,Individual,0.0,0.0,"4072 Pine St
Fort Worth, PA 17008"
21172, 60 months,16.41,519.49,C,C4,Team Lead,10+ years,RENT,68855,Not Verified,Dec-2015,Fully Paid,debt_consolidation,Debt consolidation,11.64,Nov-2006,7,0,3950,23.7,15,f,Individual,4.0,2.0,"8845 Main St
San Francisco, KY 36724"
10080, 36 months,9.58,323.27,B,B3,Assistant Manager,3 years,MORTGAGE,75352,Source Verified,Sep-2019,Fully Paid,credit_card,Credit card refinancing,13.5,Dec-2003,9,0,5523,22.0,20,f,Individual,1.0,0.0,"1449 Elm St
Phoenix, MN 79305"
18500, 60 months,12.11,412.55,B,B4,RN,5 years,RENT,18139,Not Verified,May-2015,Fully Paid,other,Other,26.32,Jul-1997,6,0,30008,21.3,13,w,Individual,4.0,1.0,"7130 Hill Ave
Chicago, VA 42929"
10116, 60 months,14.44,237.7,C,C5,Marketing Manager,4 years,MORTGAGE,16567,Not Verified,May-2015,Fully Paid,home_improvement,Home improvement,22.52,Sep-1992,10,0,8552,46.2,24,f,Individual,0.0,2.0,"9472 Cedar Ln
Portland, MA 39990"
10102, 36 months,17.7,363.69,D,D2,Police Officer,10+ years,RENT,107063,Not Verified,Jan-2016,Fully Paid,home_improvement,Home improvement,8.65,Aug-2003,12,0,18284,9.5,24,w,Individual,1.0,0.0,"4301 Lake Rd
Louisville, CA 72747"
15447, 60 months,20.27,411.58,E,E4,Technician,10+ years,MORTGAGE,138093,Source Verified,Jun-2017,Fully Paid,debt_consolidation,Debt consolidation,23.72,Dec-1995,8,0,11439,39.2,23,w,Individual,4.0,0.0,"5793 Park Rd
Chicago, OR 54846"
4238, 60 months,6.86,83.64,A,A3,Consultant,,RENT,39768,Verified,Aug-2017,Fully Paid,credit_card,Credit card refinancing,12.81,Dec-2000,17,0,23815,41.4,27,w,Individual,10.0,0.0,"1546 Main St
Jacksonville, MN 39881"
4745, 36 months,16.03,166.89,D,D2,Administrative Assistant,< 1 year,MORTGAGE,67889,Verified,Aug-2020,Charged Off,credit_card,Credit card refinancing,21.62,Sep-2008,6,0,7352,59.7,16,w,Individual,0.0,0.0,"9086 Park Rd
Oklahoma City, LA 66371"
9534, 36 months,9.9,307.19,B,B5,Driver,10+ years,MORTGAGE,89636,Not Verified,Apr-2015,Fully Paid,debt_consolidation,Debt consolidation,11.69,May-2002,14,1,2386,73.6,24,w,Individual,1.0,0.0,"4106 Main St
Louisville, WI 55314"
7275, 36 months,9.61,233.41,B,B5,Branch Manager,3 years,MORTGAGE,176141,Verified,Mar-2017,Fully Paid,home_improvement,Home improvement,15.68,Jul-1982,10,0,37324,27.5,19,f,Individual,5.0,0.0,"7188 Lake Rd
Milwaukee, OH 87167"
16131, 60 months,20.57,432.5,E,E5,RN,10+ years,MORTGAGE,56842,Verified,Sep-2019,Fully Paid,debt_consolidation,,11.34,May-1995,14,0,4814,58.1,30,w,Individual,1.0,0.0,"7437 River Rd
San Francisco, MI 60576"
7747, 36 months,10.23,250.81,B,B3,Cashier,7 years,RENT,96717,Not Verified,Jun-2017,Fully Paid,debt_consolidation,Debt consolidation,15.7,Apr-1995,11,0,17768,16.6,18,f,Individual,1.0,0.0,"2385 Oak Ave
Seattle, MD 79768"
5725, 36 months,10.27,185.46,B,B2,Mechanic,8 years,RENT,218725,Not Verified,Jan-2020,Fully Paid,home_improvement,Home improvement,9.64,Jul-2005,16,0,16585,57.1,30,f,Individual,3.0,0.0,"2144 Cedar Ln
Phoenix, MN 16303"
32189, 36 months,6.99,993.76,A,A5,IT Manager,5 years,MORTGAGE,49896,Verified,Feb-2018,Charged Off,credit_card,Credit card refinancing,11.2,Nov-1997,16,0,8969,36.3,33,w,Individual,5.0,0.0,"7017 River Rd
San Diego, IN 70450"
11667, 36 months,13.97,398.58,C,C4,Marketing Manager,7 years,MORTGAGE,62449,Verified,Jan-2015,Fully Paid,other,Other,12.35,Jul-2006,9,0,11452,35.1,17,f,Individual,1.0,0.0,"6787 Maple Dr
Nashville, CA 82627"
13912, 36 months,17.66,500.58,D,D2,Driver,10+ years,MORTGAGE,29183,Not Verified,Oct-2016,Charged Off,major_purchase,Major purchase,10.63,Jul-2011,14,1,10708,23.8,20,w,Individual,0.0,0.0,"1801 Pine St
Las Vegas, IN 55921"
5682, 60 months,26.95,173.33,G,G5,Office Manager,8 years,RENT,30153,Source Verified,Sep-2019,Fully Paid,debt_consolidation,Debt consolidation,13.87,Sep-1997,9,0,587,51.2,19,w,Individual,1.0,0.0,"7098 Lake Rd
El Paso, OK 93303"
9637, 36 months,17.09,344.02,D,D2,Technician,9 years,MORTGAGE,105771,Source Verified,Oct-2018,Charged Off,debt_consolidation,Debt consolidation,17.08,Feb-1981,12,1,11693,34.1,17,f,Individual,0.0,0.0,"1710 Hill Ave
Indianapolis, IN 32125"
14279, 60 months,21.65,391.53,E,E4,Program Manager,6 years,MORTGAGE,130095,Not Verified,Feb-2018,Fully Paid,debt_consolidation,Debt consolidation,29.87,Jul-2011,17,0,15352,33.7,28,f,Individual,,0.0,"6622 Elm St
Oklahoma City, TN 58299"
6696, 60 months,19.32,174.88,D,D1,Police Officer,10+ years,MORTGAGE,127561,Verified,Sep-2016,Fully Paid,credit_card,Credit card refinancing,9.94,Apr-1997,10,0,36720,49.9,23,w,Individual,1.0,0.0,"8991 Park Rd
Columbus, NV 44698"
16737, 36 months,20.5,626.28,E,E5,Operations Manager,10+ years,RENT,30591,Source Verified,May-2017,Fully Paid,debt_consolidation,Debt consolidation,10.31,Jun-2002,11,0,1890,30.4,21,w,Individual,2.0,0.0,"3969 Pine St
Seattle, TN 77378"
9317, 36 months,6.2,284.29,A,A4,Teacher,1 year,MORTGAGE,52380,Not Verified,Oct-2018,Fully Paid,other,Other,16.69,Feb-1991,10,0,18210,41.8,30,f,Individual,1.0,2.0,"5957 Main St
Chicago, AL 32915"
11214, 60 months,21.56,306.92,E,E3,Assistant Manager,1 year,RENT,81716,Not Verified,Feb-2016,Charged Off,debt_consolidation,Debt consolidation,7.88,Jul-1986,14,1,2251,25.0,29,f,Individual,1.0,0.0,"6596 Elm St
Charlotte, NV 50601"
9311, 60 months,10.66,200.87,B,B5,Account Manager,10+ years,MORTGAGE,13635,Source Verified,Jan-2016,Fully Paid,car,Car financing,18.36,Jul-1997,14,0,49897,5.6,29,w,Individual,0.0,1.0,"6678 Elm St
Denver, PA 26766"
40000, 36 months,19.55,1477.39,E,E1,Engineer,5 years,RENT,80582,Not Verified,Apr-2019,Charged Off,major_purchase,Major purchase,16.56,Jul-2001,8,0,5658,20.0,13,w,Joint App,0.0,0.0,"3115 Pine St
Columbus, AZ 26175"
13251, 36 months,5.87,402.34,A,A4,Nurse,4 years,OWN,203272,Verified,Feb-2016,Fully Paid,moving,Moving and relocation,21.01,Oct-1986,10,0,23685,40.5,23,w,Individual,0.0,0.0,"7372 Hill Ave
Memphis, SC 98047"
7082, 36 months,16.61,251.12,D,D4,Team Lead,2 years,MORTGAGE,125348,Verified,Jan-2019,Charged Off,debt_consolidation,Debt consolidation,45.01,Jan-2009,15,0,55340,16.9,31,w,Individual,0.0,0.0,"8535 Main St
Denver, SC 83071"
21884, 60 months,15.94,531.48,D,D2,Marketing Manager,8 years,RENT,12497,Not Verified,Nov-2018,Fully Paid,debt_consolidation,Debt consolidation,16.88,Sep-1994,14,0,8571,27.5,29,w,Joint App,0.0,0.0,"3290 Lake Rd
Nashville, WA 40482"
6422, 60 months,27.66,198.64,G,G5,Financial Analyst,5 years,OWN,77518,Verified,Dec-2017,Charged Off,moving,Moving and relocation,12.9,Apr-1999,12,0,4562,24.0,24,f,Individual,0.0,0.0,"1502 Pine St
Memphis, NJ 75989"
15143, 36 months,18.65,552.41,D,D1,Electrician,7 years,MORTGAGE,68897,Verified,Jun-2015,Fully Paid,wedding,Wedding,25.36,Jan-1985,9,0,7374,67.3,23,w,Individual,2.0,0.0,"2869 Elm St
Seattle, NV 52506"
4122, 60 months,9.28,86.13,B,B3,Physician,10+ years,MORTGAGE,71437,Verified,Feb-2020,Fully Paid,debt_consolidation,Debt consolidation,16.35,Jun-2002,8,0,43600,13.1,26,w,Individual,1.0,0.0,"9966 Hill Ave
Washington, CA 43189"
6021, 36 months,11.96,199.87,C,C2,Owner,10+ years,OTHER,64192,Verified,May-2016,Fully Paid,home_improvement,Home improvement,15.28,May-1988,9,0,27180,64.3,20,w,Joint App,0.0,0.0,"7698 Cedar Ln
Denver, MD 57451"
15034, 60 months,10.76,325.08,B,B5,Software Engineer,10+ years,RENT,48426,Source Verified,Mar-2019,Fully Paid,debt_consolidation,Debt consolidation,36.75,Apr-2002,12,0,25332,67.6,33,w,Individual,2.0,2.0,"4062 Maple Dr
Denver, MO 45173"
20807, 36 months,10.55,676.77,B,B1,Software Engineer,2 years,RENT,13207,Verified,Nov-2015,Fully Paid,small_business,Business,23.05,May-2007,9,0,74330,22.8,18,f,Individual,3.0,0.0,"1839 Elm St
Austin, NJ 16179"
14806, 36 months,13.95,505.67,B,B2,Physician,4 years,MORTGAGE,73284,Not Verified,Apr-2018,Fully Paid,debt_consolidation,Debt consolidation,10.72,Nov-1986,10,0,9081,49.9,21,w,Individual,5.0,0.0,"7908 Lake Rd
Charlotte, IL 14120"
12464, 36 months,11.5,411.01,B,B1,Office Manager,1 year,MORTGAGE,90021,Not Verified,Jan-2019,Fully Paid,home_improvement,Home improvement,10.86,Jul-1999,12,0,11215,34.8,33,w,Individual,5.0,0.0,"7207 Maple Dr
Washington, OR 98581"
11151, 36 months,12.31,372.03,C,C1,Sales,10+ years,RENT,41731,Verified,Feb-2017,Fully Paid,debt_consolidation,Debt consolidation,9.02,Sep-1984,9,0,19650,8.1,18,w,Individual,4.0,0.0,"8226 Pine St
San Jose, CA 66260"
5502, 36 months,19.57,203.27,E,E2,Account Manager,10+ years,MORTGAGE,135682,Source Verified,Oct-2015,Fully Paid,credit_card,Credit card refinancing,10.02,Nov-1981,10,0,1883,57.4,23,f,Individual,,0.0,"9095 Park Rd
Milwaukee, MO 43353"
8674, 36 months,21.47,328.89,E,E2,Data Analyst,< 1 year,MORTGAGE,20617,Not Verified,Jul-2015,Fully Paid,credit_card,Credit card refinancing,27.32,Aug-2008,10,1,38235,37.1,19,w,Individual,7.0,0.0,"6151 Hill Ave
New York, NJ 50042"
10133, 36 months,6.92,312.51,A,A5,Data Analyst,6 years,OWN,19507,Not Verified,Jul-2017,Fully Paid,credit_card,Credit card refinancing,13.08,Apr-1986,11,0,4246,34.2,25,f,Individual,2.0,0.0,"580 Oak Ave
Milwaukee, SC 95566"
25191, 36 months,6.83,775.87,A,A2,Project Manager,3 years,RENT,63274,Verified,Mar-2018,Fully Paid,credit_card,Credit card refinancing,7.36,Jan-1983,11,0,13876,15.4,26,f,Individual,3.0,0.0,"4866 Oak Ave
Portland, MA 58159"
16418, 36 months,10.6,534.4,B,B5,Nurse,7 years,MORTGAGE,38441,Not Verified,Nov-2015,Fully Paid,home_improvement,Home improvement,20.2,Feb-1993,7,0,23610,65.2,28,f,Individual,8.0,0.0,"1891 Pine St
Austin, IN 47382"
4638, 60 months,11.66,102.37,B,B1,Marketing Manager,2 years,RENT,112625,Verified,Aug-2017,Fully Paid,debt_consolidation,Debt consolidation,17.75,May-1981,11,4,5108,49.3,30,w,Individual,0.0,0.0,"9134 River Rd
San Antonio, MD 95486"
16227, 36 months,9.78,521.93,A,A2,Analyst,1 year,RENT,45346,Verified,Feb-2016,Fully Paid,other,Other,13.44,Jun-1992,7,1,3389,46.8,16,w,Individual,7.0,0.0,"1246 Elm St
Denver, OK 71239"
